Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
4015,10,18,1.539954293,2.55,0,2.55,0,0,0,5,6,3,3
4015,3,7,1.537385702,2.55,0,2.55,0,0,0,5,5,3,3
4015,16,20,1.524185978,2.55,0,2.55,0,0,0,6,6,3,2
4015,18,23,1.522764299,2.55,0,2.55,0,0,0,6,6,3,3
4015,1,4,1.514426708,2.55,0,2.55,0,0,0,5,5,3,3
4015,2,3,1.456734762,3.44,1,2.55,0,0,0,5,5,2,3
4015,36,37,1.411316832,2.55,0,2.55,0,1,1,6,6,3,2
4015,36,41,1.405020366,2.55,0,2.55,0,1,1,6,6,3,2
4015,38,39,1.404448294,2.55,0,2.55,0,1,1,6,6,2,3
4015,40,41,1.399476021,2.55,0,2.55,0,1,1,6,6,2,2
4015,39,40,1.398967005,2.55,0,2.55,0,1,1,6,6,3,2
4015,37,38,1.387949743,2.55,0,2.55,0,1,1,6,6,2,2
4015,0,2,1.374899504,3.04,2,3.44,1,0,0,5,5,2,2
4015,20,23,1.33712337,2.55,0,2.55,0,0,0,6,6,2,3
4015,0,1,1.288729085,3.04,2,2.55,0,0,0,5,5,2,3
4015,47,48,1.509302252,2.55,0,2.55,0,0,0,0,0,3,1
4015,28,29,1.503775319,2.55,0,2.55,0,0,0,0,0,3,1
4015,1,36,1.470621401,2.55,0,2.55,0,0,1,5,6,3,3
4015,18,24,1.43000467,2.55,0,3.44,1,0,0,6,0,3,1
4015,16,22,1.419819493,2.55,0,3.44,1,0,0,6,0,3,1
4015,23,27,1.39973225,2.55,0,3.44,1,0,0,6,0,3,2
4015,39,46,1.386822957,2.55,0,3.44,1,1,0,6,0,3,2
4015,46,47,1.360634679,3.44,1,2.55,0,0,0,0,0,2,3
4015,27,28,1.352395516,3.44,1,2.55,0,0,0,0,0,2,3
4015,28,34,1.210910548,2.55,0,3.44,1,0,0,0,0,3,1
