Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2,MinLength,MaxLength,Elec_reac_max_mean,Elec_reac_min_mean,Nuc_reac_max_mean,Nuc_reac_min_mean
2231-2,3,1.55367977,1.2054,0.7691452,3,0.33333333,0,-0.2161,-0.215875,4.61092928,10.758835,0.01536,0.01529,0.22952,0.22941
2232-2,5.4,1.53435993,1.2082,0.86411293,7,0.28571429,0,-0.21596,0.00773,6.08372638,9.12558957,0.0188,0.00815,0.08846,0.08729
2234-2,3.6,1.5104336,1.1605,0.80982788,3,0.33333333,0,-0.009134,-0.004746,4.61848266,10.7764595,0.03324,0.02238,0.1666,0.1477
2235-2,5,1.5144768,1.2202,0.88786943,3,0.33333333,0,-0.093871,0.045271,10.6127589,12.1288673,0.02123,0.01971,0.04364,0.02574
2242-2,6,1.51450964,1.1687,0.83183628,3,0.33333333,0,0.013772,0.026457,10.0297563,11.4625786,0.02607,0.02435,0.05685,0.05449
2246-2,5.4,1.52653952,1.2182,0.88400079,3,0.33333333,0,-0.097812,0.221967,12.7014403,14.1127114,0.01888,0.01697,0.09491,0.05485
2252-,5.8,1.50543642,1.1226,0.93864578,3,0.33333333,0,-0.043546,-0.017199,10.0231185,11.4549925,0.04081,0.03659,0.11646,0.11552
2253-2,6.2,1.4831769,1.1698,0.97533288,3,0.33333333,0,-0.005829,0.02138,10.7211463,12.2527386,0.01264,0.01039,0.16315,0.13463
2254-2,5.7,1.48724414,1.1656,0.96097381,3,0.33333333,0,-0.016041,0.081803,10.713494,12.2439932,0.01174,0.01005,0.14555,0.12808
2256-2,5.6,1.49068755,1.1847,0.96622404,3,0.33333333,0,-0.060987,0.017862,10.703922,12.2330537,0.01004,0.00647,0.13595,0.09856
2257-2,5,1.52583853,1.1561,0.92261988,3,0.33333333,0,-0.069902,-0.055843,10.7186458,12.2498809,0.00607,0.0046,0.10941,0.09337
2260-2,5.2,1.52091683,1.1707,0.84793466,3,0.33333333,0,-0.081426,0.172737,9.05989978,10.5698831,0.02386,0.02157,0.08979,0.08417
2273-2,5.2,1.5067121,1.5054,0.99579082,3,0.33333333,0,0.04608,0.187931,18.195392,19.7116746,0.0271,0.01812,0.06509,0.05612
2274-2,4.4,1.55150787,1.3839,0.81051852,9,0.44444444,0,-0.235923,-0.058561,12.8666874,14.2963193,0.00933,0.00665,0.07544,0.02415
2275-2,6.1,1.46604238,1.4652,1.03295169,3,0.33333333,0,0.046619,0.254049,9.2075636,10.7421575,0.0113,0.00942,0.11834,0.09674
30b,4.2,1.47510076,1.3514,1.01002465,4,0.25,2,-0.241364,0.182105,16.6376836,19.4240417,0.00429,0.00414,0.19745,0.03365
31b,4.1,1.53999559,1.5371,0.93789981,4,0.25,2,-0.186529,-0.026976,22.6843989,25.7089854,0.00416,0.00153,0.24539,0.03964
48-,2.4,1.69455668,1.6944,0.85183993,8,0.125,0,-0.101815,-0.101491,15.9120435,36.1637352,0.01119,0.01108,0.00047,0.00044
49-,2.4,1.66778239,1.631,0.85975627,8,0.125,0,0.04013,0.040329,9.97371084,29.9211325,0.01274,0.01272,0.0007,0.00069
56-2,4,1.53062292,1.53,0.81673952,3,0.33333333,0,-0.048057,-0.016035,7.67352542,9.20823051,0.02505,0.0203,0.06225,0.03472
631-,4.4,1.90977905,1.3364,0.75610278,5,0.2,6,-0.4315395,0.848334,18.2898444,19.8139981,0.02052,0.00404,0.03583,0.007355
632-,5.1,1.57393679,1.2179,1.0063483,5,0.2,0,-0.006464,0.016747,7.66406999,13.795326,0.00407,0.00248,0.028,0.0222
67-2,6.2,1.47977364,1.161,1.00178595,3,0.33333333,0,0.06909,0.092832,10.7289546,12.2616624,0.01817,0.0166,0.1581,0.10789
701-,4.6,1.48268577,1.0733,0.88127369,19,0.36842105,1,-0.301992,0.228471,19.6865464,28.7726447,0.03839,0.00548,0.03797,0.02253
