Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
9,4,20,1.387857014,2.55,0,3.44,1,1,0,6,0,3,2
9,21,27,1.364379217,3.44,1,2.55,0,0,0,0,0,2,3
9,20,22,1.360399168,3.44,1,2.55,0,0,0,0,0,2,3
9,42,45,1.341649331,2.55,0,3.44,1,0,0,0,0,3,2
9,40,44,1.339922235,2.55,0,3.44,1,0,0,0,0,3,2
9,40,46,1.210360587,2.55,0,3.44,1,0,0,0,0,3,1
9,42,47,1.208001262,2.55,0,3.44,1,0,0,0,0,3,1
9,22,32,1.202831505,2.55,0,3.44,1,0,0,0,0,3,1
9,27,33,1.201170671,2.55,0,3.44,1,0,0,0,0,3,1
10,30,31,1.592298548,2.55,0,2.55,0,0,0,4,4,3,3
10,32,34,1.56427093,2.55,0,2.55,0,0,0,4,4,3,3
10,30,34,1.55045617,2.55,0,2.55,0,0,0,4,4,3,3
10,31,32,1.549841227,2.55,0,2.55,0,0,0,4,4,3,3
10,12,13,1.41058646,2.55,0,2.55,0,1,1,6,6,3,2
10,7,9,1.4105638,2.55,0,2.55,0,1,1,6,6,2,3
10,15,17,1.406755395,2.55,0,2.55,0,1,1,6,6,2,3
10,4,5,1.406612595,2.55,0,2.55,0,1,1,6,6,3,2
10,11,12,1.403118785,2.55,0,2.55,0,1,1,6,6,2,3
10,1,2,1.402645581,2.55,0,2.55,0,1,1,6,6,2,2
10,17,18,1.402599966,2.55,0,2.55,0,1,1,6,6,3,2
10,2,4,1.400830582,2.55,0,2.55,0,1,1,6,6,2,3
10,11,18,1.400294742,2.55,0,2.55,0,1,1,6,6,2,2
10,1,9,1.400276954,2.55,0,2.55,0,1,1,6,6,2,3
10,13,15,1.390240357,2.55,0,2.55,0,1,1,6,6,2,2
10,5,7,1.389094239,2.55,0,2.55,0,1,1,6,6,2,2
10,34,36,1.542399687,2.55,0,2.55,0,0,0,4,0,3,3
10,32,38,1.519776497,2.55,0,2.55,0,0,0,4,0,3,3
10,9,30,1.511070395,2.55,0,2.55,0,1,0,6,4,3,3
10,12,31,1.506136354,2.55,0,2.55,0,1,0,6,4,3,3
10,43,49,1.448638087,3.04,2,2.55,0,0,0,0,0,2,1
10,42,44,1.447730647,3.04,2,2.55,0,0,0,0,0,2,1
10,21,26,1.409287471,3.44,1,2.55,0,0,0,0,0,2,1
10,20,22,1.408213511,3.44,1,2.55,0,0,0,0,0,2,1
